iter	Passed	Remaining
0	1	165
1	2	135
2	3	122
3	4	110
4	5	108
5	6	105
6	7	104
7	8	102
8	10	101
9	11	99
10	12	98
11	13	96
12	14	95
13	15	96
14	16	95
15	17	94
16	19	93
17	20	91
18	21	90
19	22	89
20	23	87
21	24	86
22	25	85
23	26	84
24	27	82
25	28	82
26	29	80
27	31	79
28	32	78
29	33	77
30	34	76
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	62
43	48	61
44	49	60
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	76	31
71	77	29
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
